,0,Overweight,,,,,,Hypertension,,,,,,High_Cholesterol,
16,KS,63.4259259259259,65.31,1.88407407407407,2.88481713990824,,,18.5185185185185,13.4,5.11851851851852,38.1978993919292,,,0.134259259259259,0.3811
17,KY,62.2291021671827,67.28,5.05089783281734,7.50727977529331,,,16.4086687306502,13.4,3.00866873065016,22.4527517212698,,,0.120743034055728,0.4321
18,LA,64.5833333333333,67.37,2.78666666666666,4.13636138736331,,,15.1785714285714,13.4,1.77857142857143,13.272921108742,,,0.136904761904762,0.407
19,ME,62.6262626262626,64.84,2.21373737373737,3.41415387683124,,,14.1414141414141,13.4,0.74141414141414,5.53294135383686,,,0.101010101010101,0.3968
20,MD,69.2144373673036,64.15,5.0644373673036,7.89468022962369,,,14.6496815286624,13.4,1.24968152866242,9.32598155718224,,,0.0976645435244161,0.3703
21,MA,66.7289719626168,58,8.72897196261683,15.0499516596842,,,13.6448598130841,13.4,0.244859813084112,1.82731203794113,,,0.138317757009346,0.3647
22,MI,65.7929226736566,66.22,0.42707732634338,0.644937067869797,,,14.1546526867628,13.4,0.754652686762778,5.63173646837894,,,0.128440366972477,0.4058
23,MN,64.8101265822785,61.07,3.74012658227848,6.12432713652937,,,14.9367088607595,13.4,1.53670886075949,11.467976572832,,,0.118987341772152,0.3362
24,MS,64.7826086956522,69.27,4.48739130434782,6.47811650692627,,,11.304347826087,13.4,2.09565217391304,15.6391953277093,,,0.117391304347826,0.4194
25,MO,66.7420814479638,65.49,1.2520814479638,1.91186661774897,,,12.6696832579186,13.4,0.730316742081445,5.45012494090631,,,0.106334841628959,0.3881
26,MT,64.7887323943662,61.36,3.4287323943662,5.58789503645078,,,18.3098591549296,13.4,4.90985915492958,36.640739962161,,,0.0422535211267606,0.357
27,NE,65.6934306569343,65.47,0.223430656934312,0.341271814471226,,,12.4087591240876,13.4,0.991240875912407,7.39731996949557,,,0.116788321167883,0.3737
28,NV,67.1052631578947,64.87,2.23526315789472,3.44575791258628,,,16.2280701754386,13.4,2.8280701754386,21.1050013092432,,,0.118421052631579,0.3857
29,NH,72.8155339805825,61.77,11.0455339805825,17.8817127741339,,,17.4757281553398,13.4,4.07572815533981,30.4158817562672,,,0.12621359223301,0.3674
30,NJ,63.5116598079561,62.8,0.711659807956103,1.13321625470717,,,17.6954732510288,13.4,4.29547325102881,32.0557705300657,,,0.120713305898491,0.3919
31,NM,66.304347826087,62.68,3.62434782608695,5.78230348769457,,,12.5,13.4,0.9,6.71641791044776,,,0.125,0.3676
32,NY,67.3316708229426,61.31,6.02167082294265,9.82167806710593,,,14.0897755610973,13.4,0.689775561097257,5.14757881415863,,,0.104114713216958,0.3905
33,NC,65.4304635761589,66.09,0.659536423841061,0.997936788986323,,,13.9072847682119,13.4,0.507284768211919,3.78570722546208,,,0.0966887417218543,0.4095
34,ND,73.469387755102,67.55,5.91938775510204,8.7629722503361,,,8.16326530612245,13.4,5.23673469387755,39.0801096558026,,,0.0408163265306122,0.3645
35,OH,63.3257403189066,65.07,1.7442596810934,2.68058964360442,,,17.7676537585421,13.4,4.36765375854214,32.5944310338966,,,0.136674259681093,0.375
36,OK,67.0250896057348,67.9,0.874910394265243,1.28852782660566,,,15.0537634408602,13.4,1.65376344086022,12.3415182153748,,,0.132616487455197,0.4116
37,OR,70.1923076923077,59.86,10.3323076923077,17.2607879924953,,,13.4615384615385,13.4,0.0615384615384613,0.459242250287025,,,0.150641025641026,0.3702
38,PA,65.4434250764526,64.53,0.913425076452612,1.41550453502652,,,17.533129459735,13.4,4.13312945973497,30.8442496995147,,,0.135575942915392,0.3851
39,PR,67.0588235294118,66.61,0.448823529411754,0.673808030943934,,,15.2941176470588,13.4,1.89411764705882,14.1352063213345,,,0.114705882352941,0.3847
40,RI,62.0689655172414,64.56,2.49103448275862,3.85847968209204,,,16.0919540229885,13.4,2.69195402298851,20.0892091267799,,,0.0804597701149425,0.3866
41,SC,65.8333333333333,66.47,0.636666666666685,0.957825585477184,,,13.6111111111111,13.4,0.21111111111111,1.57545605306799,,,0.130555555555556,0.4258
42,SD,60,66.98,6.98,10.4210212003583,,,10,13.4,3.4,25.3731343283582,,,0.133333333333333,0.3664
43,TN,65.0423728813559,68.42,3.37762711864407,4.93660789044734,,,13.3474576271186,13.4,0.052542372881355,0.392107260308619,,,0.125,0.387
44,TX,67.5935288169869,66.12,1.47352881698686,2.2285674788065,,,12.3862487360971,13.4,1.01375126390293,7.56530793957411,,,0.11830131445905,0.3768
45,UT,62.1890547263682,59.16,3.02905472636815,5.12010602834373,,,14.4278606965174,13.4,1.02786069651741,7.67060221281652,,,0.139303482587065,0.3343
46,VT,71.1538461538462,61.86,9.29384615384615,15.0239996020791,,,23.0769230769231,13.4,9.67692307692308,72.2158438576349,,,0.0769230769230769,0.3522
47,VA,67.0926517571885,64.02,3.07265175718851,4.79951852106921,,,14.8562300319489,13.4,1.45623003194888,10.867388298126,,,0.110223642172524,0.386
48,WA,63.8576779026217,61.42,2.43767790262171,3.96886666008094,,,16.4794007490637,13.4,3.07940074906367,22.9806026049527,,,0.0861423220973783,0.3669
49,WV,63.8888888888889,68.79,4.90111111111112,7.12474358353121,,,15.2777777777778,13.4,1.87777777777778,14.0132669983416,,,0.125,0.4294
50,WI,63.3707865168539,66.5,3.12921348314607,4.70558418518207,,,13.9325842696629,13.4,0.53258426966292,3.97450947509641,,,0.0921348314606742,
51,WY,66.6666666666667,64.41,2.25666666666666,3.50359674998705,,,9.52380952380953,13.4,3.87619047619047,28.9267945984364,,,0.119047619047619,0.3503
,,,,,,,,,,,,,,,
AVG,,66.0720022673262,64.1659615384616,3.88598651358136,6.26947540743199,,,14.6265032188326,13.4,2.16085147848595,16.125757302134,,,,
